survey_id,match_id,wait_time_minutes,entry_experience_score,satisfaction_score,would_recommend
1,1,17,4,5,Y
2,1,27,4,3,Y
3,1,39,5,3,Y
4,1,16,3,4,Y
5,1,12,4,5,Y
6,1,35,4,5,Y
7,1,32,5,3,Y
8,1,35,3,5,Y
9,1,33,4,3,Y
10,1,31,4,5,Y
11,1,20,5,4,Y
12,1,30,4,4,Y
13,1,41,4,3,Y
14,1,32,3,5,Y
15,1,25,4,5,Y
16,1,27,3,4,Y
17,1,34,3,4,Y
18,1,13,3,4,Y
19,1,41,4,4,Y
20,1,12,5,3,Y
21,1,29,4,5,Y
22,1,44,5,3,Y
23,1,10,3,4,Y
24,1,11,4,5,Y
25,1,11,3,4,Y
26,1,20,4,3,Y
27,1,27,3,4,Y
28,1,12,4,5,Y
29,1,20,5,4,Y
30,1,44,4,4,Y
31,1,38,3,5,Y
32,1,30,3,3,Y
33,1,41,3,5,Y
34,1,27,4,5,Y
35,1,30,3,4,Y
36,2,15,4,4,Y
37,2,45,5,5,Y
38,2,11,5,4,Y
39,2,43,4,3,Y
40,2,28,5,5,Y
41,2,27,4,5,Y
42,2,17,4,5,Y
43,2,27,3,5,Y
44,2,21,4,4,Y
45,2,29,3,3,Y
46,2,14,4,4,Y
47,2,12,5,4,Y
48,2,11,3,4,Y
49,2,43,3,3,Y
50,2,39,3,4,Y
51,2,25,5,3,Y
52,2,16,5,4,Y
53,2,22,4,3,Y
54,2,10,5,4,Y
55,2,17,3,5,Y
56,2,15,3,5,Y
57,2,18,3,5,Y
58,2,12,3,5,Y
59,2,24,4,5,Y
60,2,17,3,4,Y
61,2,28,3,3,Y
62,2,21,5,3,Y
63,2,27,5,5,Y
64,2,32,4,3,Y
65,2,27,5,5,Y
66,2,34,4,5,Y
67,2,29,4,5,Y
68,2,23,5,5,Y
69,2,16,3,5,Y
70,2,13,3,5,Y
71,2,43,5,4,Y
72,2,20,5,4,Y
73,3,44,3,3,Y
74,3,38,5,5,Y
75,3,45,5,3,Y
76,3,34,4,3,Y
77,3,38,5,4,Y
78,3,13,3,5,Y
79,3,32,3,4,Y
80,3,13,3,5,Y
81,3,24,4,4,Y
82,3,35,4,4,Y
83,3,27,4,5,Y
84,3,33,4,3,Y
85,3,32,4,3,Y
86,3,43,3,4,Y
87,3,30,5,4,Y
88,3,13,3,4,Y
89,3,20,5,4,Y
90,3,16,5,3,Y
91,3,10,4,5,Y
92,3,45,5,4,Y
93,3,21,4,4,Y
94,3,38,3,5,Y
95,4,13,3,3,Y
96,4,28,5,5,Y
97,4,41,5,3,Y
98,4,21,3,3,Y
99,4,36,3,3,Y
100,4,14,4,4,Y
101,4,45,3,3,Y
102,4,11,3,3,Y
103,4,40,5,4,Y
104,4,33,4,5,Y
105,4,28,5,5,Y
106,4,13,4,3,Y
107,4,33,5,3,Y
108,4,19,4,3,Y
109,4,34,5,3,Y
110,4,24,5,5,Y
111,4,15,4,3,Y
112,4,15,3,4,Y
113,4,36,3,3,Y
114,4,29,4,3,Y
115,4,11,5,3,Y
116,4,11,3,4,Y
117,4,21,4,4,Y
118,4,30,4,3,Y
119,4,29,5,5,Y
120,5,14,5,5,Y
121,5,26,4,5,Y
122,5,33,3,5,Y
123,5,31,5,4,Y
124,5,11,3,5,Y
125,5,28,5,3,Y
126,5,13,5,5,Y
127,5,30,5,3,Y
128,5,36,5,5,Y
129,5,41,4,3,Y
130,5,36,3,4,Y
131,5,35,3,5,Y
132,5,31,5,4,Y
133,5,17,5,3,Y
134,5,27,5,3,Y
135,5,27,5,5,Y
136,5,31,5,4,Y
137,5,10,3,5,Y
138,5,34,5,3,Y
139,6,25,4,4,Y
140,6,28,3,4,Y
141,6,35,5,5,Y
142,6,25,5,3,Y
143,6,24,3,5,Y
144,6,39,3,4,Y
145,6,41,5,3,Y
146,6,12,5,4,Y
147,6,25,3,3,Y
148,6,27,3,4,Y
149,6,19,3,3,Y
150,6,40,3,3,Y
151,6,25,4,3,Y
152,6,11,5,3,Y
153,6,23,4,3,Y
154,6,22,4,5,Y
155,6,34,4,5,Y
156,6,35,5,4,Y
157,6,11,4,3,Y
158,6,24,5,4,Y
159,6,23,5,3,Y
160,6,29,5,5,Y
161,7,146,2,1,N
162,7,233,1,2,N
163,7,226,2,3,Y
164,7,128,1,3,Y
165,7,152,1,2,N
166,7,212,1,1,N
167,7,220,2,2,N
168,7,233,1,2,N
169,7,93,1,1,N
170,7,183,2,2,N
171,7,168,2,3,Y
172,7,91,1,3,Y
173,7,134,2,1,N
174,7,193,2,2,N
175,7,124,1,2,N
176,7,157,1,3,Y
177,7,224,1,3,Y
178,7,148,1,3,Y
179,7,198,2,3,Y
180,7,130,1,1,N
181,7,136,2,2,N
182,7,153,1,1,N
183,7,95,2,1,N
184,7,95,2,1,N
185,7,99,1,2,N
186,7,141,2,1,N
187,7,183,2,2,N
188,7,93,1,2,N
189,7,138,2,2,N
190,7,236,1,2,N
191,7,230,2,1,N
192,7,234,1,2,N
193,8,21,3,3,Y
194,8,17,4,4,Y
195,8,45,5,4,Y
196,8,45,4,3,Y
197,8,11,5,3,Y
198,8,45,4,5,Y
199,8,17,4,3,Y
200,8,13,3,3,Y
201,8,33,3,3,Y
202,8,29,5,5,Y
203,8,17,5,5,Y
204,8,21,5,3,Y
