match_id,match_date,stage,venue_id,team1_id,team2_id,team1_score,team2_score,attendance
1,2026-06-11,Group Stage,1,1,2,2,1,84342
2,2026-06-13,Group Stage,9,3,4,2,2,68008
3,2026-06-16,Group Stage,14,1,3,0,2,66074
4,2026-06-28,Group Stage,14,2,4,1,3,64460
5,2026-06-12,Group Stage,8,1,4,1,3,85693
6,2026-06-19,Group Stage,9,2,3,0,1,64346
7,2026-06-21,Group Stage,11,5,6,3,2,66456
8,2026-06-25,Group Stage,10,7,8,1,3,59169
9,2026-06-28,Group Stage,13,5,7,0,2,64558
10,2026-06-23,Group Stage,12,6,8,2,3,64472
11,2026-06-26,Group Stage,13,5,8,3,0,63419
12,2026-06-16,Group Stage,7,6,7,0,0,68501
13,2026-06-23,Group Stage,12,9,10,1,0,66006
14,2026-06-28,Group Stage,1,11,12,1,1,85927
15,2026-06-28,Group Stage,14,9,11,0,2,67993
16,2026-06-20,Group Stage,13,10,12,3,1,65699
17,2026-06-19,Group Stage,10,9,12,1,3,64270
18,2026-06-14,Group Stage,9,10,11,3,2,69771
19,2026-06-17,Group Stage,9,13,14,1,2,64930
20,2026-06-27,Group Stage,13,15,16,3,2,68906
21,2026-06-14,Group Stage,15,13,15,2,1,65104
22,2026-06-20,Group Stage,14,14,16,3,3,64592
23,2026-06-13,Group Stage,15,13,16,0,2,59826
24,2026-06-28,Group Stage,6,14,15,1,0,80252
25,2026-06-28,Group Stage,12,17,18,0,1,63182
26,2026-06-17,Group Stage,4,19,20,2,2,29647
27,2026-06-20,Group Stage,8,17,19,3,2,87194
28,2026-06-27,Group Stage,16,18,20,2,1,72051
29,2026-06-11,Group Stage,15,17,20,0,0,62972
30,2026-06-13,Group Stage,13,18,19,0,0,67509
31,2026-06-12,Group Stage,7,21,22,0,0,68952
32,2026-06-26,Group Stage,8,23,24,0,0,85562
33,2026-06-26,Group Stage,11,21,23,0,3,66665
34,2026-06-14,Group Stage,15,22,24,1,1,59896
35,2026-06-25,Group Stage,6,21,24,1,1,81020
36,2026-06-14,Group Stage,11,22,23,0,2,65413
37,2026-06-14,Group Stage,8,25,26,2,3,85866
38,2026-06-24,Group Stage,11,27,28,0,1,66256
39,2026-06-13,Group Stage,12,25,27,1,3,65004
40,2026-06-12,Group Stage,16,26,28,3,2,73508
41,2026-06-13,Group Stage,1,25,28,2,0,86473
42,2026-06-26,Group Stage,15,26,27,3,0,62302
43,2026-06-16,Group Stage,10,29,30,3,3,60622
44,2026-06-25,Group Stage,16,31,32,3,1,70845
45,2026-06-28,Group Stage,14,29,31,2,2,67401
46,2026-06-17,Group Stage,2,30,32,1,0,53073
47,2026-06-21,Group Stage,16,29,32,2,2,69189
48,2026-06-27,Group Stage,6,30,31,2,2,75483
49,2026-06-16,Group Stage,2,33,34,3,0,48498
50,2026-06-23,Group Stage,10,35,36,0,3,59027
51,2026-06-12,Group Stage,3,33,35,3,0,46092
52,2026-06-27,Group Stage,13,34,36,1,2,64914
53,2026-06-21,Group Stage,10,33,36,1,2,59758
54,2026-06-20,Group Stage,7,34,35,1,2,66266
55,2026-06-11,Group Stage,6,37,38,3,3,77841
56,2026-06-13,Group Stage,14,39,40,3,3,66575
57,2026-06-22,Group Stage,7,37,39,2,0,69093
58,2026-06-16,Group Stage,7,38,40,3,1,66139
59,2026-06-27,Group Stage,5,37,40,2,1,49090
60,2026-06-14,Group Stage,7,38,39,3,1,69481
61,2026-06-14,Group Stage,11,41,42,0,0,70091
62,2026-06-17,Group Stage,16,43,44,0,1,73983
63,2026-06-19,Group Stage,5,41,43,0,2,51666
64,2026-06-12,Group Stage,11,42,44,1,3,65631
65,2026-06-11,Group Stage,3,41,44,1,1,44787
66,2026-06-16,Group Stage,4,42,43,0,3,29112
67,2026-06-11,Group Stage,10,45,46,2,1,58978
68,2026-06-15,Group Stage,16,47,48,3,2,72735
69,2026-06-15,Group Stage,6,45,47,3,2,77618
70,2026-06-12,Group Stage,8,46,48,0,1,91609
71,2026-06-14,Group Stage,12,45,48,0,0,64418
72,2026-06-15,Group Stage,12,46,47,2,3,68168
73,2026-07-01,Round of 32,15,1,33,0,3,63441
74,2026-07-01,Round of 32,8,48,17,0,1,91637
75,2026-07-01,Round of 32,9,10,44,1,2,69229
76,2026-07-01,Round of 32,9,30,37,1,2,68336
77,2026-07-01,Round of 32,6,36,8,2,0,82116
78,2026-07-01,Round of 32,9,19,21,3,2,70031
79,2026-07-01,Round of 32,14,18,7,2,1,66740
80,2026-07-01,Round of 32,14,35,40,2,1,67576
81,2026-07-01,Round of 32,8,4,25,3,2,89686
82,2026-07-01,Round of 32,9,47,38,2,1,68849
83,2026-07-01,Round of 32,11,45,11,1,0,70096
84,2026-07-01,Round of 32,10,26,31,3,2,64393
85,2026-07-01,Round of 32,13,16,5,2,1,68180
86,2026-07-01,Round of 32,12,3,14,0,1,67003
87,2026-07-01,Round of 32,13,43,29,3,2,67896
88,2026-07-01,Round of 32,7,23,24,1,0,68356
89,2026-07-01,Round of 16,12,33,17,4,3,66123
90,2026-07-01,Round of 16,1,44,37,0,2,85861
91,2026-07-01,Round of 16,14,36,19,1,3,69076
92,2026-07-01,Round of 16,13,18,35,2,0,66987
93,2026-07-01,Round of 16,10,4,47,1,0,63036
94,2026-07-01,Round of 16,9,45,26,3,0,68891
95,2026-07-01,Round of 16,9,16,14,2,0,69872
96,2026-07-01,Round of 16,13,43,23,1,0,68549
97,2026-07-01,Quarterfinal,15,33,37,0,3,65069
98,2026-07-01,Quarterfinal,14,19,18,0,1,67103
99,2026-07-01,Quarterfinal,15,4,45,3,2,62746
100,2026-07-01,Quarterfinal,6,16,43,0,3,80220
101,2026-07-01,Semifinal,12,40,18,3,2,68890
102,2026-07-01,Semifinal,4,13,43,2,3,29810
103,2026-07-18,Third Place Playoff,8,20,32,1,1,83670
104,2026-07-19,Final,6,40,13,1,0,82500
