team_id,team_name,group_letter
1,Mexico,A
2,South Africa,A
3,Korea Republic,A
4,Czechia,A
5,USA,D
6,Paraguay,D
7,Australia,D
8,Turkiye,D
9,Canada,B
10,Curacao,B
11,Japan,B
12,Belgium,B
13,Argentina,C
14,Panama,C
15,Iran,C
16,Croatia,C
17,Brazil,E
18,Haiti,E
19,Saudi Arabia,E
20,England,E
21,Colombia,F
22,Uzbekistan,F
23,Morocco,F
24,Netherlands,F
25,Ecuador,G
26,New Zealand,G
27,Ghana,G
28,Portugal,G
29,Uruguay,H
30,Egypt,H
31,Jordan,H
32,France,H
33,Algeria,I
34,Cabo Verde,I
35,Qatar,I
36,Germany,I
37,Cote d'Ivoire,J
38,Congo DR,J
39,Iraq,J
40,Spain,J
41,Senegal,K
42,Tunisia,K
43,Austria,K
44,Norway,K
45,Sweden,L
46,Switzerland,L
47,Bosnia and Herzegovina,L
48,Scotland,L
