sale_id,match_id,price_tier,quantity,unit_price_usd,channel,buyer_country
1,1,Category 2,1,159.14,Ticket Lottery Allocation,Spain
2,1,Category 1,2,282.99,Verified Resale Platform,Mexico
3,1,Category 2,1,170.76,FIFA.com Ticketing Platform,France
4,1,Category 3,4,101.33,Official Hospitality Package,USA
5,1,Category 3,2,91.14,Verified Resale Platform,France
6,1,Category 1,2,303.29,FIFA.com Ticketing Platform,Spain
7,1,Category 4,1,64.67,Official Hospitality Package,Argentina
8,1,Category 1,3,306.03,Official Hospitality Package,India
9,1,Category 3,2,101.38,FIFA.com Ticketing Platform,India
10,1,Category 2,1,182.48,FIFA.com Ticketing Platform,Mexico
11,1,Category 3,2,104.11,Ticket Lottery Allocation,England
12,1,Category 3,1,93.38,FIFA.com Ticketing Platform,Argentina
13,1,Category 2,2,178.8,FIFA.com Ticketing Platform,Australia
14,1,Category 3,3,96.71,Ticket Lottery Allocation,Argentina
15,1,Category 3,2,106.21,FIFA.com Ticketing Platform,England
16,1,Category 3,3,103.58,FIFA.com Ticketing Platform,Japan
17,1,Category 3,3,103.87,FIFA.com Ticketing Platform,South Africa
18,1,Category 3,1,93.44,FIFA.com Ticketing Platform,Mexico
19,1,Category 3,1,104.28,FIFA.com Ticketing Platform,Germany
20,1,Category 2,4,171.57,FIFA.com Ticketing Platform,Spain
21,1,Category 2,1,174.91,FIFA.com Ticketing Platform,Colombia
22,1,Category 2,2,188.36,Ticket Lottery Allocation,Canada
23,1,Category 1,1,271.44,Ticket Lottery Allocation,France
24,1,Category 3,1,98.21,FIFA.com Ticketing Platform,Argentina
25,1,Category 3,2,106.57,FIFA.com Ticketing Platform,Nigeria
26,1,Category 3,3,106.8,FIFA.com Ticketing Platform,France
27,1,Category 3,2,97.74,FIFA.com Ticketing Platform,India
28,1,Category 3,1,94.22,FIFA.com Ticketing Platform,Canada
29,1,Category 1,2,303.06,FIFA.com Ticketing Platform,Spain
30,1,Category 1,2,320.59,FIFA.com Ticketing Platform,Nigeria
31,1,Category 2,2,176.63,Verified Resale Platform,India
32,1,Category 1,3,297.31,Verified Resale Platform,India
33,1,Category 2,1,181.18,Ticket Lottery Allocation,India
34,1,Category 4,1,68.41,FIFA.com Ticketing Platform,Spain
35,1,Category 2,3,181.77,Verified Resale Platform,England
36,1,Hospitality,4,952.11,Ticket Lottery Allocation,Argentina
37,1,Category 4,2,63.5,FIFA.com Ticketing Platform,Spain
38,1,Category 2,1,189.25,Ticket Lottery Allocation,France
39,1,Category 2,1,183.26,FIFA.com Ticketing Platform,Brazil
40,1,Category 3,2,90.78,FIFA.com Ticketing Platform,England
41,1,Category 3,1,96.79,Official Hospitality Package,Australia
42,1,Category 4,6,61.38,Verified Resale Platform,Brazil
43,1,Category 1,2,298.26,FIFA.com Ticketing Platform,South Africa
44,1,Category 3,1,96.79,Verified Resale Platform,Japan
45,1,Category 1,3,315.34,Verified Resale Platform,Australia
46,1,Category 2,4,177.73,FIFA.com Ticketing Platform,Mexico
47,1,Category 4,6,61.82,FIFA.com Ticketing Platform,Mexico
48,1,Category 3,1,93.12,FIFA.com Ticketing Platform,South Africa
49,1,Category 3,3,101.57,Official Hospitality Package,India
50,1,Category 3,2,92.74,FIFA.com Ticketing Platform,USA
51,1,Category 3,3,104.49,FIFA.com Ticketing Platform,Canada
52,1,Category 2,4,163.71,Ticket Lottery Allocation,England
53,1,Category 2,2,167.51,Ticket Lottery Allocation,Spain
54,1,Category 2,1,168.42,Verified Resale Platform,India
55,1,Category 3,3,105.97,FIFA.com Ticketing Platform,South Africa
56,1,Category 3,2,90.61,FIFA.com Ticketing Platform,India
57,1,Category 3,2,93.1,Ticket Lottery Allocation,Canada
58,1,Category 3,3,96.44,Official Hospitality Package,Spain
59,1,Category 3,2,107.03,Ticket Lottery Allocation,USA
60,1,Category 2,1,173.5,Ticket Lottery Allocation,Spain
61,1,Category 1,4,289.31,FIFA.com Ticketing Platform,Spain
62,1,Category 3,1,99.9,FIFA.com Ticketing Platform,Australia
63,1,Category 3,4,106.9,Ticket Lottery Allocation,South Africa
64,1,Category 2,2,184.47,Verified Resale Platform,Canada
65,1,Category 2,2,178.9,FIFA.com Ticketing Platform,Germany
66,1,Category 1,3,321.88,Ticket Lottery Allocation,Canada
67,1,Category 4,2,60.04,FIFA.com Ticketing Platform,Canada
68,1,Hospitality,1,978.17,Verified Resale Platform,India
69,1,Category 2,3,180.06,FIFA.com Ticketing Platform,Spain
70,1,Category 2,2,159.79,FIFA.com Ticketing Platform,Argentina
71,1,Category 1,2,271.78,FIFA.com Ticketing Platform,Argentina
72,1,Category 3,1,92.39,Verified Resale Platform,South Africa
73,1,Category 3,6,95.3,FIFA.com Ticketing Platform,USA
74,1,Category 4,1,66.84,Ticket Lottery Allocation,France
75,1,Category 4,3,58.79,FIFA.com Ticketing Platform,South Africa
76,1,Category 3,2,95.55,FIFA.com Ticketing Platform,Australia
77,1,Category 3,2,108.08,FIFA.com Ticketing Platform,Japan
78,1,Category 1,1,283.43,Official Hospitality Package,England
79,1,Category 4,2,63.64,FIFA.com Ticketing Platform,South Africa
80,1,Category 4,2,65.51,FIFA.com Ticketing Platform,Mexico
81,1,Hospitality,1,1079.63,FIFA.com Ticketing Platform,Japan
82,1,Category 2,3,173.25,FIFA.com Ticketing Platform,Canada
83,1,Category 2,3,157.97,Verified Resale Platform,USA
84,1,Category 3,2,99.27,FIFA.com Ticketing Platform,South Africa
85,1,Category 2,3,178.41,Ticket Lottery Allocation,Spain
86,1,Category 4,2,65.25,FIFA.com Ticketing Platform,Brazil
87,1,Category 2,3,177.74,Ticket Lottery Allocation,Germany
88,1,Hospitality,6,905.21,Ticket Lottery Allocation,Japan
89,1,Category 3,1,91.86,FIFA.com Ticketing Platform,France
90,1,Category 2,2,176.51,Verified Resale Platform,Colombia
91,1,Category 2,2,171.46,FIFA.com Ticketing Platform,England
92,1,Category 2,2,167.43,Verified Resale Platform,USA
93,1,Hospitality,2,902.7,FIFA.com Ticketing Platform,Germany
94,1,Category 1,1,284.9,Ticket Lottery Allocation,Australia
95,1,Category 1,1,293.52,FIFA.com Ticketing Platform,USA
96,1,Category 2,1,159.54,Official Hospitality Package,Spain
97,1,Category 4,1,66.41,Ticket Lottery Allocation,Nigeria
98,1,Category 2,2,161.68,Verified Resale Platform,Colombia
99,1,Category 3,1,103.84,Ticket Lottery Allocation,Spain
100,1,Category 3,3,92.9,Ticket Lottery Allocation,Spain
101,1,Category 3,2,90.56,Ticket Lottery Allocation,Japan
102,1,Category 3,4,103.42,Ticket Lottery Allocation,Brazil
103,1,Category 1,1,325.44,Official Hospitality Package,Germany
104,1,Category 4,2,64.51,Official Hospitality Package,Japan
105,1,Category 2,1,159.06,FIFA.com Ticketing Platform,South Africa
106,1,Category 3,2,91.5,Ticket Lottery Allocation,Colombia
107,1,Category 3,3,94.71,Ticket Lottery Allocation,Australia
108,1,Category 2,3,173.05,Verified Resale Platform,Germany
109,1,Category 1,4,273.41,FIFA.com Ticketing Platform,Japan
110,1,Category 3,1,95.07,FIFA.com Ticketing Platform,Colombia
111,1,Category 3,2,99.42,FIFA.com Ticketing Platform,India
112,1,Category 2,3,179.05,Ticket Lottery Allocation,England
113,1,Category 3,1,104.83,FIFA.com Ticketing Platform,South Africa
114,1,Category 3,2,99.24,FIFA.com Ticketing Platform,England
115,1,Category 3,3,98.79,Verified Resale Platform,England
116,1,Category 2,4,159.21,Verified Resale Platform,Mexico
117,1,Category 1,2,278.31,Verified Resale Platform,France
118,1,Category 3,1,97.19,FIFA.com Ticketing Platform,India
119,1,Category 4,2,57.04,FIFA.com Ticketing Platform,India
120,1,Category 3,2,98.16,Ticket Lottery Allocation,Germany
121,1,Category 2,3,181.52,FIFA.com Ticketing Platform,France
122,1,Category 2,4,157.14,FIFA.com Ticketing Platform,Colombia
123,1,Category 2,2,189.71,FIFA.com Ticketing Platform,Nigeria
124,1,Category 1,4,319.44,Ticket Lottery Allocation,England
125,1,Category 1,3,324.08,FIFA.com Ticketing Platform,Brazil
126,1,Hospitality,2,1049.4,FIFA.com Ticketing Platform,Australia
127,1,Hospitality,4,1022.37,Ticket Lottery Allocation,South Africa
128,1,Category 4,2,57.97,FIFA.com Ticketing Platform,South Africa
129,1,Category 3,2,102.5,Ticket Lottery Allocation,England
130,1,Category 3,4,93.49,Official Hospitality Package,Germany
131,1,Category 2,1,188.97,Ticket Lottery Allocation,England
132,1,Category 2,1,178.82,FIFA.com Ticketing Platform,Mexico
133,1,Category 2,1,186.65,FIFA.com Ticketing Platform,India
134,1,Category 3,2,104.68,FIFA.com Ticketing Platform,Germany
135,1,Category 1,1,290.24,FIFA.com Ticketing Platform,Mexico
136,1,Category 2,2,163.42,Ticket Lottery Allocation,USA
137,1,Category 3,2,100.21,FIFA.com Ticketing Platform,Germany
138,1,Category 2,3,175.7,FIFA.com Ticketing Platform,Argentina
139,1,Category 1,2,319.93,Official Hospitality Package,Brazil
140,1,Category 1,4,307.56,FIFA.com Ticketing Platform,Germany
141,1,Hospitality,3,906.64,Ticket Lottery Allocation,USA
142,1,Category 2,3,188.7,Ticket Lottery Allocation,India
143,1,Category 1,2,317.81,Verified Resale Platform,France
144,1,Category 3,2,94.5,Ticket Lottery Allocation,Canada
145,1,Category 3,3,103.96,Verified Resale Platform,Japan
146,1,Category 4,4,66.32,FIFA.com Ticketing Platform,USA
147,1,Category 3,1,102.51,Verified Resale Platform,England
148,1,Hospitality,2,985.61,FIFA.com Ticketing Platform,Australia
149,1,Category 1,1,303.97,FIFA.com Ticketing Platform,Germany
150,1,Category 2,3,174.49,FIFA.com Ticketing Platform,India
151,1,Category 2,2,164.75,Ticket Lottery Allocation,Spain
152,1,Category 2,1,180.0,Verified Resale Platform,England
153,1,Category 1,1,307.64,Ticket Lottery Allocation,Mexico
154,1,Category 2,3,164.23,Verified Resale Platform,USA
155,1,Category 3,3,97.78,FIFA.com Ticketing Platform,USA
156,1,Category 3,3,94.15,FIFA.com Ticketing Platform,Brazil
157,1,Category 2,3,164.06,FIFA.com Ticketing Platform,Australia
158,1,Category 4,1,64.32,Official Hospitality Package,South Africa
159,1,Category 2,2,188.06,Ticket Lottery Allocation,Canada
160,1,Category 4,1,64.15,FIFA.com Ticketing Platform,Germany
